User ID,Gender,House,Age,EstimatedSalary,Purchased
15624510,Male,1,19,19000,0
15810944,Male,2,35,20000,0
15668575,Female,4,26,43000,0
15603246,Female,5,27,57000,0
15804002,Male,7,19,76000,0
15728773,Male,3,27,58000,0
15598044,Female,4,27,84000,0
15694829,Female,8,32,150000,1
15600575,Male,2,25,33000,0
15727311,Female,3,35,65000,0
15570769,Female,4,26,80000,0
15606274,Female,2,26,52000,0
15746139,Male,5,20,86000,0
15704987,Male,1,32,18000,0
15628972,Male,4,18,82000,0
15697686,Male,6,29,80000,0
15733883,Male,1,47,25000,1
15617482,Male,1,45,26000,1
15704583,Male,1,46,28000,1
15621083,Female,2,48,29000,1
15649487,Male,1,45,22000,1
15736760,Female,3,47,49000,1
15714658,Male,2,48,41000,1
15599081,Female,2,45,22000,1
15705113,Male,1,46,23000,1
15631159,Male,1,47,20000,1
15792818,Male,1,49,28000,1
15633531,Female,2,47,30000,1
15744529,Male,3,29,43000,0
15669656,Male,1,31,18000,0
15581198,Male,5,31,74000,0
15729054,Female,9,27,137000,1
15573452,Female,1,21,16000,0
15776733,Female,3,28,44000,0
15724858,Male,7,27,90000,0
15713144,Male,1,35,27000,0
15690188,Female,1,33,28000,0
15689425,Male,5,30,49000,0
15671766,Female,8,26,72000,0
15782806,Female,3,27,31000,0
15764419,Female,1,27,17000,0
15591915,Female,4,33,51000,0
15772798,Male,8,35,108000,0
15792008,Male,1,30,15000,0
15715541,Female,6,28,84000,0
15639277,Male,1,23,20000,0
15798850,Male,5,25,79000,0
15776348,Female,4,27,54000,0
15727696,Male,9,30,135000,1
15793813,Female,7,31,89000,0
15694395,Female,1,24,32000,0
15764195,Female,2,18,44000,0
15744919,Female,1,29,83000,0
15671655,Female,2,35,23000,0
15654901,Female,4,27,58000,0
15649136,Female,5,24,55000,0
15775562,Female,7,23,48000,0
15807481,Male,3,28,79000,0
15642885,Male,4,22,18000,0
15789109,Female,8,32,117000,0
15814004,Male,2,27,20000,0
15673619,Male,3,25,87000,0
15595135,Female,4,23,66000,0
15583681,Male,2,32,120000,1
15605000,Female,5,59,83000,0
15718071,Male,1,24,58000,0
15679760,Male,4,24,19000,0
15654574,Female,6,23,82000,0
15577178,Female,1,22,63000,0
15595324,Female,1,31,68000,0
15756932,Male,1,25,80000,0
15726358,Female,2,24,27000,0
15595228,Female,1,20,23000,0
15782530,Female,3,33,113000,0
15592877,Male,2,32,18000,0
15651983,Male,2,34,112000,1
15746737,Male,1,18,52000,0
15774179,Female,1,22,27000,0
15667265,Female,1,28,87000,0
15655123,Female,2,26,17000,0
15595917,Male,3,30,80000,0
15668385,Male,1,39,42000,0
15709476,Male,5,20,49000,0
15711218,Male,9,35,88000,0
15798659,Female,1,30,62000,0
15663939,Female,3,31,118000,1
15694946,Male,7,24,55000,0
15631912,Female,1,28,85000,0
15768816,Male,1,26,81000,0
15682268,Male,5,35,50000,0
15684801,Male,8,22,81000,0
15636428,Female,3,30,116000,0
15809823,Male,1,26,15000,0
15699284,Female,4,29,28000,0
15786993,Female,8,29,83000,0
15709441,Female,1,35,44000,0
15710257,Female,6,35,25000,0
15582492,Male,1,28,123000,1
15575694,Male,5,35,73000,0
15756820,Female,4,28,37000,0
15766289,Male,9,27,88000,0
15593014,Male,7,28,59000,0
15584545,Female,1,32,86000,0
15675949,Female,2,33,149000,1
15672091,Female,1,19,21000,0
15801658,Male,2,21,72000,0
15706185,Female,4,26,35000,0
15789863,Male,5,27,89000,0
15720943,Male,7,26,86000,0
15697997,Female,3,38,80000,0
15665416,Female,4,39,71000,0
15660200,Female,8,37,71000,0
15619653,Male,2,38,61000,0
15773447,Male,3,37,55000,0
15739160,Male,4,42,80000,0
15689237,Male,2,40,57000,0
15679297,Male,5,35,75000,0
15591433,Male,1,36,52000,0
15642725,Male,4,40,59000,0
15701962,Male,6,41,59000,0
15811613,Female,1,36,75000,0
15741049,Male,1,37,72000,0
15724423,Female,1,40,75000,0
15574305,Male,2,35,53000,0
15678168,Female,1,41,51000,0
15697020,Female,3,39,61000,0
15610801,Male,2,42,65000,0
15745232,Male,2,26,32000,0
15722758,Male,1,30,17000,0
15792102,Female,1,26,84000,0
15675185,Male,1,31,58000,0
15801247,Male,2,33,31000,0
15725660,Male,3,30,87000,0
15638963,Female,1,21,68000,0
15800061,Female,5,28,55000,0
15578006,Male,9,23,63000,0
15668504,Female,1,20,82000,0
15687491,Male,3,30,107000,1
15610403,Female,7,28,59000,0
15741094,Male,1,19,25000,0
15807909,Male,1,19,85000,0
15666141,Female,5,18,68000,0
15617134,Male,8,35,59000,0
15783029,Male,3,30,89000,0
15622833,Female,1,34,25000,0
15746422,Female,4,24,89000,0
15750839,Female,8,27,96000,1
15749130,Female,1,41,30000,0
15779862,Male,6,29,61000,0
15767871,Male,1,20,74000,0
15679651,Female,5,26,15000,0
15576219,Male,4,41,45000,0
15699247,Male,9,31,76000,0
15619087,Female,7,36,50000,0
15605327,Male,1,40,47000,0
15610140,Female,2,31,15000,0
15791174,Male,1,46,59000,0
15602373,Male,2,29,75000,0
15762605,Male,4,26,30000,0
15598840,Female,5,32,135000,1
15744279,Male,7,32,100000,1
15670619,Male,3,25,90000,0
15599533,Female,4,37,33000,0
15757837,Male,8,35,38000,0
15697574,Female,2,33,69000,0
15578738,Female,3,18,86000,0
15762228,Female,4,22,55000,0
15614827,Female,2,35,71000,0
15789815,Male,5,29,148000,1
15579781,Female,1,29,47000,0
15587013,Male,4,21,88000,0
15570932,Male,6,34,115000,0
15794661,Female,1,26,118000,0
15581654,Female,1,34,43000,0
15644296,Female,1,34,72000,0
15614420,Female,2,23,28000,0
15609653,Female,1,35,47000,0
15594577,Male,3,25,22000,0
15584114,Male,2,24,23000,0
15673367,Female,2,31,34000,0
15685576,Male,1,26,16000,0
15774727,Female,1,31,71000,0
15694288,Female,1,32,117000,1
15603319,Male,2,33,43000,0
15759066,Female,3,33,60000,0
15814816,Male,1,31,66000,0
15724402,Female,5,20,82000,0
15571059,Female,9,33,41000,0
15674206,Male,1,35,72000,0
15715160,Male,3,28,32000,0
15730448,Male,7,24,84000,0
15662067,Female,1,19,26000,0
15779581,Male,1,29,43000,0
15662901,Male,5,19,70000,0
15689751,Male,8,28,89000,0
15667742,Male,3,34,43000,0
15738448,Female,1,30,79000,0
15680243,Female,4,20,36000,0
15745083,Male,8,26,80000,0
15708228,Male,1,35,22000,0
15628523,Male,6,35,39000,0
15708196,Male,1,49,74000,0
15735549,Female,5,39,134000,1
15809347,Female,4,41,71000,0
15660866,Female,9,58,101000,1
15766609,Female,7,47,47000,0
15654230,Female,1,55,130000,1
15794566,Female,2,52,114000,0
15800890,Female,1,40,142000,1
15697424,Female,2,46,22000,0
15724536,Female,4,48,96000,1
15735878,Male,5,52,150000,1
15707596,Female,7,59,42000,0
15657163,Male,3,35,58000,0
15622478,Male,4,47,43000,0
15779529,Female,8,60,108000,1
15636023,Male,2,49,65000,0
15582066,Male,3,40,78000,0
15666675,Female,4,46,96000,0
15732987,Male,2,59,143000,1
15789432,Female,5,41,80000,0
15663161,Male,1,35,91000,1
15694879,Male,4,37,144000,1
15593715,Male,6,60,102000,1
15575002,Female,1,35,60000,0
15622171,Male,1,37,53000,0
15795224,Female,1,36,126000,1
15685346,Male,2,56,133000,1
15691808,Female,1,40,72000,0
15721007,Female,3,42,80000,1
15794253,Female,2,35,147000,1
15694453,Male,2,39,42000,0
15813113,Male,1,40,107000,1
15614187,Male,1,49,86000,1
15619407,Female,1,38,112000,0
15646227,Male,2,46,79000,1
15660541,Male,3,40,57000,0
15753874,Female,1,37,80000,0
15617877,Female,5,46,82000,0
15772073,Female,9,53,143000,1
15701537,Male,1,42,149000,1
15736228,Male,3,38,59000,0
15780572,Female,7,50,88000,1
15769596,Female,1,56,104000,1
15586996,Female,1,41,72000,0
15722061,Female,5,51,146000,1
15638003,Female,8,35,50000,0
